Symbol,Settings,Date,Open,High,Low,Close,Volume
ZQQ,Ex:TSE | Src:Google,2025-05-26,147.500,147.500,146.410,146.800,13216
ZQQ,Ex:TSE | Src:Google,2025-05-27,146.860,148.250,146.390,148.110,24415
ZQQ,Ex:TSE | Src:Google,2025-05-28,148.680,148.880,147.450,147.630,22628
ZQQ,Ex:TSE | Src:Google,2025-05-29,149.380,149.540,147.110,147.760,36616
ZQQ,Ex:TSE | Src:Google,2025-05-30,147.700,147.900,145.520,147.540,36828
ZQQ,Ex:TSE | Src:Google,2025-06-02,146.970,148.620,146.900,148.600,23492
ZQQ,Ex:TSE | Src:Google,2025-06-03,148.600,150.140,148.480,149.830,29717
ZQQ,Ex:TSE | Src:Google,2025-06-04,149.910,150.440,149.500,150.260,20537
ZQQ,Ex:TSE | Src:Google,2025-06-05,150.600,151.310,148.440,148.900,50636
ZQQ,Ex:TSE | Src:Google,2025-06-06,150.550,150.950,150.010,150.490,26126
ZQQ,Ex:TSE | Src:Google,2025-06-09,150.560,151.090,150.350,150.730,20691
ZQQ,Ex:TSE | Src:Google,2025-06-10,150.740,151.770,150.180,151.610,23120
ZQQ,Ex:TSE | Src:Google,2025-06-11,151.980,152.300,150.580,151.120,31901
