Symbol,Settings,Date,Open,High,Low,Close,Volume
HXQ,Ex:TSE | Src:Google,2023-11-30,62.050,62.150,61.310,61.740,19979
HXQ,Ex:TSE | Src:Google,2023-12-01,61.340,61.670,61.120,61.510,26716
HXQ,Ex:TSE | Src:Google,2023-12-04,61.250,61.250,60.680,61.150,18591
HXQ,Ex:TSE | Src:Google,2023-12-05,61.080,61.560,61.050,61.560,15687
HXQ,Ex:TSE | Src:Google,2023-12-06,61.960,61.960,61.250,61.250,14457
HXQ,Ex:TSE | Src:Google,2023-12-07,61.710,62.190,61.650,62.140,20984
HXQ,Ex:TSE | Src:Google,2023-12-08,61.850,62.370,61.820,62.360,25237
HXQ,Ex:TSE | Src:Google,2023-12-11,62.140,62.800,62.140,62.800,7449
HXQ,Ex:TSE | Src:Google,2023-12-12,62.910,63.400,62.830,63.400,11480
HXQ,Ex:TSE | Src:Google,2023-12-13,63.390,63.810,63.380,63.750,9034
HXQ,Ex:TSE | Src:Google,2023-12-14,63.690,63.840,62.930,63.210,24378
HXQ,Ex:TSE | Src:Google,2023-12-15,63.260,63.560,63.260,63.460,29277
HXQ,Ex:TSE | Src:Google,2023-12-18,63.490,64.050,63.490,63.950,17458
HXQ,Ex:TSE | Src:Google,2023-12-19,63.850,63.980,63.790,63.980,9462
HXQ,Ex:TSE | Src:Google,2023-12-20,63.850,64.040,63.160,63.160,23504
HXQ,Ex:TSE | Src:Google,2023-12-21,63.590,63.590,63.180,63.530,4954
HXQ,Ex:TSE | Src:Google,2023-12-22,63.530,63.650,63.330,63.490,15953
HXQ,Ex:TSE | Src:Google,2023-12-27,63.520,63.750,63.500,63.740,13475
HXQ,Ex:TSE | Src:Google,2023-12-28,63.840,63.890,63.700,63.810,11771
HXQ,Ex:TSE | Src:Google,2023-12-29,63.890,63.890,63.130,63.640,10089
HXQ,Ex:TSE | Src:Google,2024-01-02,63.440,63.440,62.580,62.940,25640
HXQ,Ex:TSE | Src:Google,2024-01-03,62.650,62.750,62.370,62.380,41908
HXQ,Ex:TSE | Src:Google,2024-01-04,62.090,62.580,62.040,62.050,31264
HXQ,Ex:TSE | Src:Google,2024-01-05,62.100,62.380,62.000,62.170,15506
HXQ,Ex:TSE | Src:Google,2024-01-08,62.500,63.440,62.500,63.440,20110
HXQ,Ex:TSE | Src:Google,2024-01-09,63.090,63.830,63.090,63.770,18239
HXQ,Ex:TSE | Src:Google,2024-01-10,63.750,64.200,63.610,64.120,28935
HXQ,Ex:TSE | Src:Google,2024-01-11,64.290,64.410,63.730,64.240,24494
HXQ,Ex:TSE | Src:Google,2024-01-12,64.260,64.380,64.140,64.380,16027
HXQ,Ex:TSE | Src:Google,2024-01-15,64.620,64.620,64.490,64.540,4461
HXQ,Ex:TSE | Src:Google,2024-01-16,64.500,64.930,64.400,64.770,40572
HXQ,Ex:TSE | Src:Google,2024-01-17,64.480,64.560,63.950,64.540,17561
HXQ,Ex:TSE | Src:Google,2024-01-18,65.000,65.410,64.880,65.390,11058
HXQ,Ex:TSE | Src:Google,2024-01-19,65.740,66.350,65.620,66.330,18961
HXQ,Ex:TSE | Src:Google,2024-01-22,66.750,66.890,66.480,66.670,13777
HXQ,Ex:TSE | Src:Google,2024-01-23,66.740,66.900,66.600,66.880,19217
HXQ,Ex:TSE | Src:Google,2024-01-24,67.330,67.910,67.160,67.550,24284
HXQ,Ex:TSE | Src:Google,2024-01-25,67.810,67.880,67.250,67.350,13111
HXQ,Ex:TSE | Src:Google,2024-01-26,66.850,67.240,66.750,66.820,19409
HXQ,Ex:TSE | Src:Google,2024-01-29,66.870,67.350,66.850,67.320,23052
HXQ,Ex:TSE | Src:Google,2024-01-30,67.230,67.300,66.750,66.830,39589
HXQ,Ex:TSE | Src:Google,2024-01-31,66.150,66.200,65.540,65.750,40032
HXQ,Ex:TSE | Src:Google,2024-02-01,66.060,66.290,65.750,66.250,23057
HXQ,Ex:TSE | Src:Google,2024-02-02,66.820,67.880,66.660,67.760,33420
HXQ,Ex:TSE | Src:Google,2024-02-05,67.940,68.140,67.550,68.040,15059
HXQ,Ex:TSE | Src:Google,2024-02-06,68.200,68.240,67.350,67.620,22309
HXQ,Ex:TSE | Src:Google,2024-02-07,68.000,68.300,67.860,68.190,16733
HXQ,Ex:TSE | Src:Google,2024-02-08,68.260,68.420,68.200,68.320,10632
HXQ,Ex:TSE | Src:Google,2024-02-09,68.400,69.070,68.260,68.970,20840
HXQ,Ex:TSE | Src:Google,2024-02-12,68.980,69.170,68.600,68.660,41099
HXQ,Ex:TSE | Src:Google,2024-02-13,67.740,68.510,67.660,68.170,23900
HXQ,Ex:TSE | Src:Google,2024-02-14,68.540,68.840,68.300,68.830,13068
HXQ,Ex:TSE | Src:Google,2024-02-15,68.780,68.780,68.330,68.620,16983
HXQ,Ex:TSE | Src:Google,2024-02-16,68.820,68.820,68.030,68.060,17789
HXQ,Ex:TSE | Src:Google,2024-02-20,67.890,68.050,67.190,67.700,37000
HXQ,Ex:TSE | Src:Google,2024-02-21,67.300,67.420,66.790,67.420,20187
HXQ,Ex:TSE | Src:Google,2024-02-22,68.770,69.390,68.760,69.280,19846
HXQ,Ex:TSE | Src:Google,2024-02-23,69.470,69.570,69.100,69.150,15292
HXQ,Ex:TSE | Src:Google,2024-02-26,69.350,69.480,69.120,69.120,11249
HXQ,Ex:TSE | Src:Google,2024-02-27,69.300,69.430,69.000,69.430,16646
HXQ,Ex:TSE | Src:Google,2024-02-28,69.260,69.480,69.100,69.190,4755
HXQ,Ex:TSE | Src:Google,2024-02-29,69.660,70.000,69.280,69.980,13085
HXQ,Ex:TSE | Src:Google,2024-03-01,70.060,70.960,70.060,70.850,16310
HXQ,Ex:TSE | Src:Google,2024-03-04,70.890,70.960,70.700,70.700,18666
HXQ,Ex:TSE | Src:Google,2024-03-05,70.200,70.200,69.160,69.500,20079
HXQ,Ex:TSE | Src:Google,2024-03-06,70.030,70.050,69.400,69.530,25426
HXQ,Ex:TSE | Src:Google,2024-03-07,69.950,70.360,69.830,70.300,8334
HXQ,Ex:TSE | Src:Google,2024-03-08,70.310,70.770,69.400,69.470,8546
HXQ,Ex:TSE | Src:Google,2024-03-11,69.130,69.330,68.990,69.130,21589
HXQ,Ex:TSE | Src:Google,2024-03-12,69.560,70.180,69.420,70.180,11849
HXQ,Ex:TSE | Src:Google,2024-03-13,70.000,70.000,69.380,69.500,4895
HXQ,Ex:TSE | Src:Google,2024-03-14,69.730,69.730,69.250,69.530,15089
HXQ,Ex:TSE | Src:Google,2024-03-15,69.150,69.200,68.740,68.870,14426
HXQ,Ex:TSE | Src:Google,2024-03-18,69.680,70.070,69.490,69.510,10569
HXQ,Ex:TSE | Src:Google,2024-03-19,69.540,69.910,69.260,69.880,7221
HXQ,Ex:TSE | Src:Google,2024-03-20,70.190,70.230,69.700,70.230,5025
HXQ,Ex:TSE | Src:Google,2024-03-21,71.210,71.350,70.810,70.910,13814
