Symbol,Settings,Date,Open,High,Low,Close,Volume
HND,Ex:TSE | Src:Google,2024-04-09,100.020,105.590,97.940,100.060,320225
HND,Ex:TSE | Src:Google,2024-04-10,99.570,103.690,99.380,102.620,244111
HND,Ex:TSE | Src:Google,2024-04-11,105.050,109.740,104.890,108.400,240990
HND,Ex:TSE | Src:Google,2024-04-12,109.060,109.600,104.600,105.150,157827
HND,Ex:TSE | Src:Google,2024-04-15,111.940,115.800,110.410,115.560,241956
HND,Ex:TSE | Src:Google,2024-04-16,116.030,118.860,103.190,109.700,264988
HND,Ex:TSE | Src:Google,2024-04-17,114.460,117.250,111.180,111.340,191231
HND,Ex:TSE | Src:Google,2024-04-18,110.000,111.770,108.000,110.740,227012
HND,Ex:TSE | Src:Google,2024-04-19,106.360,111.200,104.880,108.980,272959
HND,Ex:TSE | Src:Google,2024-04-22,103.620,105.220,100.750,101.350,361595
HND,Ex:TSE | Src:Google,2024-04-23,102.520,102.840,95.400,95.980,260897
HND,Ex:TSE | Src:Google,2024-04-24,102.840,110.840,102.540,110.410,378822
HND,Ex:TSE | Src:Google,2024-04-25,112.040,113.500,107.450,110.260,204031
HND,Ex:TSE | Src:Google,2024-04-26,113.800,116.360,112.120,114.830,182055
HND,Ex:TSE | Src:Google,2024-04-29,110.770,110.770,100.360,101.000,392461
HND,Ex:TSE | Src:Google,2024-04-30,100.160,109.390,100.160,107.800,309821
HND,Ex:TSE | Src:Google,2024-05-01,110.000,114.490,110.000,112.400,161140
HND,Ex:TSE | Src:Google,2024-05-02,107.140,107.760,99.120,100.700,304696
HND,Ex:TSE | Src:Google,2024-05-03,97.940,100.210,88.470,89.750,384270
HND,Ex:TSE | Src:Google,2024-05-06,84.160,86.100,79.900,85.500,520185
HND,Ex:TSE | Src:Google,2024-05-07,85.800,87.000,83.500,84.460,219894
HND,Ex:TSE | Src:Google,2024-05-08,82.500,86.780,82.500,85.790,227777
HND,Ex:TSE | Src:Google,2024-05-09,83.670,84.090,78.450,79.250,382777
HND,Ex:TSE | Src:Google,2024-05-10,80.810,83.270,80.750,83.100,217123
HND,Ex:TSE | Src:Google,2024-05-13,82.230,82.680,76.200,77.200,287936
HND,Ex:TSE | Src:Google,2024-05-14,78.300,79.200,75.000,77.560,239275
