Symbol,Settings,Date,Open,High,Low,Close,Volume
VUN,Ex:TSE | Src:Google,2022-07-18,68.180,68.480,67.260,67.390,24404
VUN,Ex:TSE | Src:Google,2022-07-19,67.980,68.820,67.980,68.760,17172
VUN,Ex:TSE | Src:Google,2022-07-20,68.840,69.520,68.820,69.350,26969
VUN,Ex:TSE | Src:Google,2022-07-21,69.430,69.930,69.080,69.930,29711
VUN,Ex:TSE | Src:Google,2022-07-22,70.030,70.030,69.110,69.410,27625
VUN,Ex:TSE | Src:Google,2022-07-25,69.390,69.390,68.850,69.150,18105
VUN,Ex:TSE | Src:Google,2022-07-26,69.110,69.110,68.510,68.640,23681
VUN,Ex:TSE | Src:Google,2022-07-27,69.100,70.210,69.100,70.090,43615
VUN,Ex:TSE | Src:Google,2022-07-28,70.220,70.970,69.780,70.890,41493
VUN,Ex:TSE | Src:Google,2022-07-29,71.040,71.950,71.040,71.860,21796
VUN,Ex:TSE | Src:Google,2022-08-02,71.540,72.220,71.470,71.580,38685
VUN,Ex:TSE | Src:Google,2022-08-03,71.880,72.750,71.880,72.720,19163
VUN,Ex:TSE | Src:Google,2022-08-04,72.750,72.750,72.000,72.590,19488
VUN,Ex:TSE | Src:Google,2022-08-05,72.640,73.100,72.520,73.050,12392
VUN,Ex:TSE | Src:Google,2022-08-08,72.930,73.330,72.500,72.670,36965
VUN,Ex:TSE | Src:Google,2022-08-09,72.460,72.460,72.200,72.310,8027
VUN,Ex:TSE | Src:Google,2022-08-10,73.090,73.400,73.000,73.350,12774
VUN,Ex:TSE | Src:Google,2022-08-11,73.640,74.000,73.240,73.340,17683
VUN,Ex:TSE | Src:Google,2022-08-12,73.640,74.600,73.640,74.600,35595
VUN,Ex:TSE | Src:Google,2022-08-15,74.910,75.770,74.910,75.710,16449
VUN,Ex:TSE | Src:Google,2022-08-16,75.480,75.780,75.150,75.480,18322
VUN,Ex:TSE | Src:Google,2022-08-17,75.190,75.430,74.940,75.170,15966
VUN,Ex:TSE | Src:Google,2022-08-18,75.310,75.640,75.120,75.640,11967
VUN,Ex:TSE | Src:Google,2022-08-19,75.340,75.350,74.690,74.770,11048
VUN,Ex:TSE | Src:Google,2022-08-22,74.140,74.140,73.420,73.500,16614
VUN,Ex:TSE | Src:Google,2022-08-23,73.420,73.420,72.820,72.840,23215
VUN,Ex:TSE | Src:Google,2022-08-24,72.870,73.450,72.870,73.150,20748
VUN,Ex:TSE | Src:Google,2022-08-25,73.500,74.000,73.280,74.000,24996
VUN,Ex:TSE | Src:Google,2022-08-26,74.160,74.160,72.200,72.200,31385
VUN,Ex:TSE | Src:Google,2022-08-29,71.500,71.940,71.420,71.640,24489
VUN,Ex:TSE | Src:Google,2022-08-30,71.930,71.930,70.860,71.210,31988
VUN,Ex:TSE | Src:Google,2022-08-31,71.510,71.780,70.800,71.020,27765
VUN,Ex:TSE | Src:Google,2022-09-01,70.570,71.070,70.050,71.070,49525
VUN,Ex:TSE | Src:Google,2022-09-02,71.500,71.630,70.000,70.150,48356
VUN,Ex:TSE | Src:Google,2022-09-06,70.510,70.510,69.600,69.950,38231
VUN,Ex:TSE | Src:Google,2022-09-07,70.400,71.290,70.230,71.180,31114
VUN,Ex:TSE | Src:Google,2022-09-08,70.940,71.690,70.730,71.590,37797
VUN,Ex:TSE | Src:Google,2022-09-09,71.820,72.490,71.750,72.340,20939
VUN,Ex:TSE | Src:Google,2022-09-12,72.600,72.930,72.490,72.820,33349
VUN,Ex:TSE | Src:Google,2022-09-13,71.800,71.890,70.590,70.720,42169
VUN,Ex:TSE | Src:Google,2022-09-14,71.000,71.110,70.550,71.070,33709
VUN,Ex:TSE | Src:Google,2022-09-15,71.000,71.300,70.450,70.670,22218
VUN,Ex:TSE | Src:Google,2022-09-16,70.060,70.260,69.630,70.220,50832
VUN,Ex:TSE | Src:Google,2022-09-19,69.850,70.590,69.850,70.550,29955
VUN,Ex:TSE | Src:Google,2022-09-20,70.380,70.560,69.940,70.380,20919
VUN,Ex:TSE | Src:Google,2022-09-21,70.790,71.250,69.710,69.710,25772
VUN,Ex:TSE | Src:Google,2022-09-22,69.670,69.670,68.900,69.140,15259
VUN,Ex:TSE | Src:Google,2022-09-23,68.370,68.370,67.300,67.910,36534
VUN,Ex:TSE | Src:Google,2022-09-26,68.000,68.790,67.980,67.980,44242
VUN,Ex:TSE | Src:Google,2022-09-27,68.700,68.900,67.500,67.880,49133
VUN,Ex:TSE | Src:Google,2022-09-28,68.030,69.110,67.760,68.820,67384
VUN,Ex:TSE | Src:Google,2022-09-29,68.470,68.470,67.310,67.740,59210
VUN,Ex:TSE | Src:Google,2022-09-30,67.710,68.510,67.330,67.410,61957
VUN,Ex:TSE | Src:Google,2022-10-03,67.610,68.510,67.200,68.170,31729
VUN,Ex:TSE | Src:Google,2022-10-04,69.360,70.180,69.340,69.810,39260
VUN,Ex:TSE | Src:Google,2022-10-05,69.700,70.420,69.410,70.060,58624
VUN,Ex:TSE | Src:Google,2022-10-06,70.280,70.760,70.110,70.160,75952
VUN,Ex:TSE | Src:Google,2022-10-07,69.160,69.160,67.820,68.240,42397
