Symbol,Settings,Date,Open,High,Low,Close,Volume
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-10,2.490,2.490,2.350,2.360,380686
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-11,2.310,2.350,2.280,2.350,281459
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-15,2.310,2.340,2.260,2.270,373662
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-16,2.210,2.280,2.160,2.280,376167
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-17,2.270,2.270,2.190,2.230,295385
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-18,2.200,2.200,2.010,2.030,1332794
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-21,1.980,2.020,1.935,2.010,1117090
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-22,1.960,1.990,1.940,1.945,1029248
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-23,2.000,2.020,1.960,1.990,1039648
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-24,1.960,2.085,1.960,2.000,1428712
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-25,2.040,2.100,2.040,2.090,629679
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-28,2.080,2.110,2.070,2.095,352435
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-29,2.080,2.080,1.990,2.000,563572
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-30,2.000,2.090,2.000,2.045,364161
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-31,2.080,2.200,2.080,2.150,775443
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-01,2.110,2.210,2.110,2.200,191320
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-04,2.170,2.260,2.170,2.250,321392
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-05,2.250,2.280,2.210,2.270,237945
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-06,2.350,2.470,2.330,2.350,765101
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-07,2.310,2.410,2.240,2.260,455788
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-08,2.270,2.340,2.260,2.290,361738
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-11,2.440,2.625,2.430,2.580,745926
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-12,2.610,2.700,2.600,2.640,459117
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-13,2.590,2.710,2.550,2.710,319240
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-14,2.780,2.780,2.580,2.620,262254
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-15,2.570,2.680,2.570,2.665,226179
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-18,2.500,2.510,2.420,2.450,524951
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-19,2.380,2.430,2.355,2.360,444108
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-20,2.340,2.370,2.310,2.330,297925
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-21,2.280,2.350,2.260,2.265,325020
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-22,2.260,2.280,2.225,2.240,351771
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-25,28.200,29.640,28.200,28.800,39906
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-26,28.320,28.800,27.900,28.020,18036
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-27,27.600,28.200,27.240,28.080,28229
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-28,27.710,28.020,27.710,27.950,18109
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-11-29,27.500,27.990,27.210,27.530,16943
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-02,27.890,28.690,27.780,28.580,54623
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-03,28.260,28.260,26.060,26.440,81225
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-04,26.540,26.690,25.880,26.640,53407
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-05,26.520,27.530,26.350,27.190,70810
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-06,27.380,28.000,27.280,27.760,75753
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-09,26.580,26.580,25.300,26.410,236155
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-10,25.900,26.500,25.570,26.300,67348
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-11,25.980,26.050,24.550,24.550,117172
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-12,25.050,26.110,25.010,26.070,121429
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-13,26.500,27.730,26.460,27.330,201142
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-16,27.180,28.200,27.180,27.830,24292
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-17,28.280,28.780,27.980,28.160,49740
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-18,28.580,30.450,28.320,30.310,80117
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-19,30.750,31.250,30.000,30.950,41387
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-20,30.610,30.680,29.640,30.290,53872
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-23,30.350,30.700,29.950,30.010,47236
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-24,30.450,30.450,29.880,29.880,8483
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-27,30.500,30.670,29.890,29.920,64291
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-30,30.890,31.400,30.740,31.120,43643
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-12-31,31.170,31.170,30.360,30.460,13423
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-02,29.520,29.520,27.400,27.540,86880
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-03,27.790,27.970,27.410,27.960,39864
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-06,28.180,29.330,27.600,29.240,76344
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-07,28.510,28.710,27.240,28.470,37518
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-08,27.830,28.030,26.630,26.700,102865
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-09,26.540,26.540,25.750,25.900,72047
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-10,25.480,26.590,25.300,26.570,64299
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-13,27.100,28.100,27.100,27.860,86242
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-14,27.560,27.970,26.650,26.730,32633
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-01-15,26.000,27.400,26.000,26.720,37893
