Symbol,Settings,Date,Open,High,Low,Close,Volume
QQC-F,Ex:TSE | Src:Google,2023-07-19,127.610,128.000,127.190,127.420,6541
QQC-F,Ex:TSE | Src:Google,2023-07-20,126.790,126.790,124.160,124.160,2985
QQC-F,Ex:TSE | Src:Google,2023-07-21,125.120,125.320,124.040,124.040,3699
QQC-F,Ex:TSE | Src:Google,2023-07-24,124.270,124.450,124.000,124.020,4491
QQC-F,Ex:TSE | Src:Google,2023-07-25,125.000,125.520,124.740,125.220,3101
QQC-F,Ex:TSE | Src:Google,2023-07-26,124.920,124.970,124.200,124.460,3583
QQC-F,Ex:TSE | Src:Google,2023-07-27,126.350,126.830,124.500,124.510,2702
QQC-F,Ex:TSE | Src:Google,2023-07-28,125.630,126.950,125.630,126.630,3585
QQC-F,Ex:TSE | Src:Google,2023-07-31,126.880,126.900,126.530,126.530,3179
QQC-F,Ex:TSE | Src:Google,2023-08-01,126.160,126.580,126.160,126.580,4163
QQC-F,Ex:TSE | Src:Google,2023-08-02,125.390,125.390,123.290,123.460,5170
QQC-F,Ex:TSE | Src:Google,2023-08-03,122.880,124.040,122.880,123.480,3144
QQC-F,Ex:TSE | Src:Google,2023-08-04,123.950,124.420,122.720,122.720,3758
QQC-F,Ex:TSE | Src:Google,2023-08-08,122.820,122.820,121.950,122.800,3682
QQC-F,Ex:TSE | Src:Google,2023-08-09,121.300,122.040,121.300,121.970,1059
QQC-F,Ex:TSE | Src:Google,2023-08-10,122.300,123.350,121.250,121.410,3895
QQC-F,Ex:TSE | Src:Google,2023-08-11,120.610,120.840,120.500,120.840,2077
QQC-F,Ex:TSE | Src:Google,2023-08-14,120.620,122.000,120.620,122.000,2316
QQC-F,Ex:TSE | Src:Google,2023-08-15,121.970,121.980,120.730,120.750,5638
QQC-F,Ex:TSE | Src:Google,2023-08-16,120.500,120.960,119.720,119.720,1846
QQC-F,Ex:TSE | Src:Google,2023-08-17,120.120,120.120,118.100,118.260,3548
QQC-F,Ex:TSE | Src:Google,2023-08-18,117.130,118.330,116.980,118.040,8299
QQC-F,Ex:TSE | Src:Google,2023-08-21,118.380,120.140,118.380,120.020,13713
QQC-F,Ex:TSE | Src:Google,2023-08-22,120.970,120.970,119.570,119.770,1593
QQC-F,Ex:TSE | Src:Google,2023-08-23,120.300,122.000,120.170,121.700,3129
QQC-F,Ex:TSE | Src:Google,2023-08-24,122.780,122.780,119.140,119.140,3828
QQC-F,Ex:TSE | Src:Google,2023-08-25,119.700,120.330,118.870,120.010,5964
QQC-F,Ex:TSE | Src:Google,2023-08-28,121.130,121.130,120.340,120.850,4395
QQC-F,Ex:TSE | Src:Google,2023-08-29,120.960,123.690,120.960,123.690,10193
QQC-F,Ex:TSE | Src:Google,2023-08-30,124.140,124.410,123.450,124.310,4420
QQC-F,Ex:TSE | Src:Google,2023-08-31,124.700,125.000,124.700,125.000,1326
QQC-F,Ex:TSE | Src:Google,2023-09-01,124.750,124.800,124.250,124.560,11838
QQC-F,Ex:TSE | Src:Google,2023-09-05,124.460,124.900,124.100,124.900,1667
QQC-F,Ex:TSE | Src:Google,2023-09-06,123.450,123.510,123.450,123.510,647
QQC-F,Ex:TSE | Src:Google,2023-09-07,122.300,122.830,121.930,122.720,1861
QQC-F,Ex:TSE | Src:Google,2023-09-08,123.020,123.110,122.630,122.700,1253
QQC-F,Ex:TSE | Src:Google,2023-09-11,124.070,124.490,123.360,124.480,6166
QQC-F,Ex:TSE | Src:Google,2023-09-12,123.660,124.000,122.970,122.970,1970
QQC-F,Ex:TSE | Src:Google,2023-09-13,122.920,123.990,122.920,123.270,1875
QQC-F,Ex:TSE | Src:Google,2023-09-14,123.830,124.720,123.770,124.460,6046
QQC-F,Ex:TSE | Src:Google,2023-09-15,123.220,123.220,122.200,122.350,2700
QQC-F,Ex:TSE | Src:Google,2023-09-18,121.820,122.510,121.820,122.360,3134
QQC-F,Ex:TSE | Src:Google,2023-09-19,122.180,122.280,121.360,122.280,2130
QQC-F,Ex:TSE | Src:Google,2023-09-20,122.110,122.320,120.760,120.760,6293
QQC-F,Ex:TSE | Src:Google,2023-09-21,119.340,119.340,118.490,118.530,3715
QQC-F,Ex:TSE | Src:Google,2023-09-22,118.720,119.200,118.290,118.290,2624
QQC-F,Ex:TSE | Src:Google,2023-09-25,118.060,118.420,118.000,118.100,1357
QQC-F,Ex:TSE | Src:Google,2023-09-26,117.770,117.770,116.720,116.720,2634
QQC-F,Ex:TSE | Src:Google,2023-09-27,117.410,117.430,116.000,116.920,2692
QQC-F,Ex:TSE | Src:Google,2023-09-28,116.720,118.530,116.670,118.070,3778
QQC-F,Ex:TSE | Src:Google,2023-09-29,119.400,119.420,118.150,118.150,5330
QQC-F,Ex:TSE | Src:Google,2023-10-02,118.150,119.120,118.150,119.120,3514
QQC-F,Ex:TSE | Src:Google,2023-10-03,118.200,118.690,116.620,117.090,6067
QQC-F,Ex:TSE | Src:Google,2023-10-04,117.450,118.690,117.320,118.690,6834
QQC-F,Ex:TSE | Src:Google,2023-10-05,118.720,118.720,117.560,118.430,2004
QQC-F,Ex:TSE | Src:Google,2023-10-06,117.720,120.640,117.560,120.640,3428
QQC-F,Ex:TSE | Src:Google,2023-10-10,120.880,122.280,120.880,121.630,2884
QQC-F,Ex:TSE | Src:Google,2023-10-11,122.370,122.500,121.650,122.170,8605
QQC-F,Ex:TSE | Src:Google,2023-10-12,123.000,123.000,121.750,122.020,1526
QQC-F,Ex:TSE | Src:Google,2023-10-13,121.790,121.790,120.460,120.460,2453
QQC-F,Ex:TSE | Src:Google,2023-10-16,121.050,122.110,121.050,122.000,1957
QQC-F,Ex:TSE | Src:Google,2023-10-17,120.500,122.000,120.000,121.510,2947
QQC-F,Ex:TSE | Src:Google,2023-10-18,120.690,121.050,119.500,119.510,4562
QQC-F,Ex:TSE | Src:Google,2023-10-19,120.330,120.490,118.700,118.860,8406
QQC-F,Ex:TSE | Src:Google,2023-10-20,118.360,118.360,116.930,116.950,3171
QQC-F,Ex:TSE | Src:Google,2023-10-23,116.540,118.000,116.380,117.300,4083
QQC-F,Ex:TSE | Src:Google,2023-10-24,117.750,118.450,117.750,118.450,1601
QQC-F,Ex:TSE | Src:Google,2023-10-25,117.420,117.420,115.500,115.620,5883
QQC-F,Ex:TSE | Src:Google,2023-10-26,115.000,115.000,113.130,113.890,6549
QQC-F,Ex:TSE | Src:Google,2023-10-27,113.980,114.730,113.370,113.370,10203
QQC-F,Ex:TSE | Src:Google,2023-10-30,114.620,115.410,114.280,115.170,3064
QQC-F,Ex:TSE | Src:Google,2023-10-31,115.150,115.670,114.690,115.670,2531
QQC-F,Ex:TSE | Src:Google,2023-11-01,115.920,117.730,115.920,117.730,6259
QQC-F,Ex:TSE | Src:Google,2023-11-02,118.970,119.740,118.970,119.720,2916
QQC-F,Ex:TSE | Src:Google,2023-11-03,120.270,121.420,120.100,121.270,5669
QQC-F,Ex:TSE | Src:Google,2023-11-06,121.270,121.600,121.050,121.510,4183
QQC-F,Ex:TSE | Src:Google,2023-11-07,121.770,122.980,121.770,122.800,10892
QQC-F,Ex:TSE | Src:Google,2023-11-08,123.000,123.000,122.560,122.730,1569
QQC-F,Ex:TSE | Src:Google,2023-11-09,122.960,123.330,121.860,121.860,5553
QQC-F,Ex:TSE | Src:Google,2023-11-10,122.360,124.640,122.360,124.640,7248
QQC-F,Ex:TSE | Src:Google,2023-11-13,124.210,124.500,124.210,124.500,1311
QQC-F,Ex:TSE | Src:Google,2023-11-14,126.180,127.070,126.180,126.740,9130
QQC-F,Ex:TSE | Src:Google,2023-11-15,127.450,127.450,126.830,126.830,4395
QQC-F,Ex:TSE | Src:Google,2023-11-16,126.730,127.060,126.430,127.030,55944
QQC-F,Ex:TSE | Src:Google,2023-11-17,126.700,127.260,126.700,127.000,1497
QQC-F,Ex:TSE | Src:Google,2023-11-20,127.500,128.730,127.500,128.510,8980
QQC-F,Ex:TSE | Src:Google,2023-11-21,127.950,127.950,127.500,127.780,3514
QQC-F,Ex:TSE | Src:Google,2023-11-22,128.680,129.000,128.360,128.390,5607
QQC-F,Ex:TSE | Src:Google,2023-11-23,128.550,129.240,128.400,128.410,3779
QQC-F,Ex:TSE | Src:Google,2023-11-24,128.250,128.480,127.820,128.480,3843
