Symbol,Settings,Date,Open,High,Low,Close,Volume
VFV,Ex:TSE | Src:Google,2021-03-17,87.600,88.010,87.450,87.750,109644
VFV,Ex:TSE | Src:Google,2021-03-18,87.600,87.930,87.180,87.240,111994
VFV,Ex:TSE | Src:Google,2021-03-19,87.390,87.390,86.740,87.060,136121
VFV,Ex:TSE | Src:Google,2021-03-22,87.050,88.010,87.050,87.840,82890
VFV,Ex:TSE | Src:Google,2021-03-23,87.910,88.250,87.390,87.570,83526
VFV,Ex:TSE | Src:Google,2021-03-24,88.000,88.030,87.080,87.080,113153
VFV,Ex:TSE | Src:Google,2021-03-25,87.000,87.980,86.590,87.850,114298
VFV,Ex:TSE | Src:Google,2021-03-26,87.470,88.700,87.440,88.700,87020
VFV,Ex:TSE | Src:Google,2021-03-29,88.500,88.880,88.140,88.660,134444
VFV,Ex:TSE | Src:Google,2021-03-30,88.570,88.890,88.470,88.750,77499
VFV,Ex:TSE | Src:Google,2021-03-31,88.880,89.060,88.420,88.640,97121
VFV,Ex:TSE | Src:Google,2021-04-01,89.160,89.460,89.070,89.450,133384
VFV,Ex:TSE | Src:Google,2021-04-05,90.000,90.730,89.990,90.570,179309
VFV,Ex:TSE | Src:Google,2021-04-06,90.700,91.030,90.630,90.850,95924
VFV,Ex:TSE | Src:Google,2021-04-07,91.050,91.440,91.050,91.320,105889
VFV,Ex:TSE | Src:Google,2021-04-08,91.550,91.550,91.200,91.320,112486
VFV,Ex:TSE | Src:Google,2021-04-09,91.350,91.750,91.220,91.750,103542
VFV,Ex:TSE | Src:Google,2021-04-12,91.850,92.090,91.730,92.020,109501
VFV,Ex:TSE | Src:Google,2021-04-13,92.020,92.240,91.880,92.050,85894
VFV,Ex:TSE | Src:Google,2021-04-14,92.450,92.460,91.570,91.600,101035
VFV,Ex:TSE | Src:Google,2021-04-15,92.180,92.860,92.150,92.760,92621
VFV,Ex:TSE | Src:Google,2021-04-16,92.860,92.970,92.600,92.860,112942
VFV,Ex:TSE | Src:Google,2021-04-19,92.950,92.950,92.340,92.580,154647
VFV,Ex:TSE | Src:Google,2021-04-20,92.650,92.650,92.000,92.560,137754
VFV,Ex:TSE | Src:Google,2021-04-21,92.480,92.940,91.810,92.540,141106
VFV,Ex:TSE | Src:Google,2021-04-22,92.980,92.980,91.550,91.790,150673
VFV,Ex:TSE | Src:Google,2021-04-23,91.930,92.820,91.820,92.560,84975
VFV,Ex:TSE | Src:Google,2021-04-26,92.620,92.620,92.070,92.120,140897
VFV,Ex:TSE | Src:Google,2021-04-27,92.400,92.400,91.930,92.090,110296
VFV,Ex:TSE | Src:Google,2021-04-28,92.290,92.290,91.410,91.410,171491
VFV,Ex:TSE | Src:Google,2021-04-29,92.130,92.130,91.220,91.750,135924
VFV,Ex:TSE | Src:Google,2021-04-30,91.400,91.500,91.100,91.190,183143
VFV,Ex:TSE | Src:Google,2021-05-03,91.810,91.810,91.300,91.380,164122
VFV,Ex:TSE | Src:Google,2021-05-04,91.510,91.510,90.250,91.000,309663
VFV,Ex:TSE | Src:Google,2021-05-05,91.250,91.250,90.690,90.770,141437
VFV,Ex:TSE | Src:Google,2021-05-06,90.640,90.700,89.980,90.670,172512
VFV,Ex:TSE | Src:Google,2021-05-07,90.980,91.490,90.940,91.200,136145
VFV,Ex:TSE | Src:Google,2021-05-10,91.000,91.070,89.940,89.940,173606
VFV,Ex:TSE | Src:Google,2021-05-11,89.100,89.290,88.420,89.200,254064
VFV,Ex:TSE | Src:Google,2021-05-12,88.490,88.640,87.400,87.570,411769
VFV,Ex:TSE | Src:Google,2021-05-13,88.090,89.220,87.970,88.830,218371
VFV,Ex:TSE | Src:Google,2021-05-14,88.800,90.000,88.800,89.880,145308
VFV,Ex:TSE | Src:Google,2021-05-17,89.680,89.680,88.820,89.240,134795
VFV,Ex:TSE | Src:Google,2021-05-18,89.190,89.230,88.420,88.470,122014
VFV,Ex:TSE | Src:Google,2021-05-19,87.570,88.670,87.290,88.640,270514
VFV,Ex:TSE | Src:Google,2021-05-20,88.630,89.370,88.600,89.100,95502
VFV,Ex:TSE | Src:Google,2021-05-21,89.310,89.750,89.060,89.070,130063
VFV,Ex:TSE | Src:Google,2021-05-25,89.990,90.320,89.700,89.820,96984
VFV,Ex:TSE | Src:Google,2021-05-26,90.320,90.440,90.050,90.330,75801
VFV,Ex:TSE | Src:Google,2021-05-27,90.400,90.410,90.030,90.050,92298
VFV,Ex:TSE | Src:Google,2021-05-28,90.700,90.700,90.250,90.300,92920
