Symbol,Settings,Date,Open,High,Low,Close,Volume
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-03,23.250,23.730,23.190,23.240,19801
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-04,23.490,24.500,23.450,24.220,40662
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-05,24.080,24.120,23.560,23.890,44930
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-06,24.500,24.980,24.500,24.820,24961
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-09,24.330,24.670,23.930,24.630,71226
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-10,24.410,24.980,24.410,24.970,20381
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-11,24.760,25.000,24.360,24.360,27210
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-12,25.010,25.280,24.810,25.160,21778
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-13,25.480,25.700,25.200,25.200,11382
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-16,25.500,26.290,25.490,26.100,25559
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-17,26.570,27.070,26.390,26.420,43528
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-18,26.380,27.600,26.320,27.460,24897
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-19,26.950,28.040,26.910,27.880,30468
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-20,28.210,28.330,27.540,27.840,21912
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-23,27.980,28.170,26.690,26.720,16853
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-24,26.880,26.880,26.120,26.290,2400
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-27,26.210,26.350,25.770,26.350,10450
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-30,26.200,26.200,25.580,25.950,18815
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-31,25.710,25.730,25.090,25.200,23027
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-02,24.600,24.610,24.140,24.340,20467
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-03,24.050,24.300,24.030,24.100,3901
HED,Ex:TSE | Src:Yahoo JSON (forced),2025-01-06,23.400,23.670,22.900,23.630,34006
