Symbol,Settings,Date,Open,High,Low,Close,Volume
HXF,Ex:TSE | Src:Google,2024-04-10,67.430,67.470,67.430,67.470,201
HXF,Ex:TSE | Src:Google,2024-04-12,66.740,66.740,66.740,66.740,100
HXF,Ex:TSE | Src:Google,2024-04-15,66.200,66.200,66.160,66.160,531
HXF,Ex:TSE | Src:Google,2024-04-16,66.000,66.000,65.830,65.830,301
HXF,Ex:TSE | Src:Google,2024-04-19,66.360,66.360,66.360,66.360,331
HXF,Ex:TSE | Src:Google,2024-04-24,66.750,66.750,66.750,66.750,2065
HXF,Ex:TSE | Src:Google,2024-04-25,66.500,66.680,66.480,66.680,500
HXF,Ex:TSE | Src:Google,2024-04-26,66.900,66.900,66.900,66.900,390
HXF,Ex:TSE | Src:Google,2024-05-02,67.120,67.230,67.090,67.230,5178
HXF,Ex:TSE | Src:Google,2024-05-06,67.600,68.120,67.600,68.100,4300
HXF,Ex:TSE | Src:Google,2024-05-07,68.170,68.170,68.170,68.170,432
HXF,Ex:TSE | Src:Google,2024-05-09,69.050,69.050,69.050,69.050,3970
HXF,Ex:TSE | Src:Google,2024-05-13,69.120,69.120,69.120,69.120,159
HXF,Ex:TSE | Src:Google,2024-05-14,69.180,69.180,69.180,69.180,100
HXF,Ex:TSE | Src:Google,2024-05-15,69.300,69.300,69.290,69.300,9345
HXF,Ex:TSE | Src:Google,2024-05-16,69.410,69.450,69.330,69.330,1800
HXF,Ex:TSE | Src:Google,2024-05-17,69.600,69.600,69.550,69.550,800
HXF,Ex:TSE | Src:Google,2024-05-22,69.360,69.360,69.360,69.360,100
HXF,Ex:TSE | Src:Google,2024-05-23,69.400,69.400,69.400,69.400,325
HXF,Ex:TSE | Src:Google,2024-05-29,67.380,67.380,67.380,67.380,100
HXF,Ex:TSE | Src:Google,2024-05-31,68.780,68.780,68.290,68.290,1200
HXF,Ex:TSE | Src:Google,2024-06-06,68.690,68.690,68.600,68.600,2115
HXF,Ex:TSE | Src:Google,2024-06-07,68.500,68.500,68.500,68.500,200
HXF,Ex:TSE | Src:Google,2024-06-10,68.220,68.410,68.220,68.410,2900
HXF,Ex:TSE | Src:Google,2024-06-11,67.650,67.650,67.650,67.650,400
HXF,Ex:TSE | Src:Google,2024-06-12,68.250,68.250,68.200,68.250,23259
HXF,Ex:TSE | Src:Google,2024-06-13,67.250,67.250,67.080,67.080,1322
HXF,Ex:TSE | Src:Google,2024-06-14,66.890,66.890,66.500,66.500,14860
HXF,Ex:TSE | Src:Google,2024-06-17,66.420,66.420,66.420,66.420,2303
HXF,Ex:TSE | Src:Google,2024-06-18,66.830,66.830,66.830,66.830,400
HXF,Ex:TSE | Src:Google,2024-06-19,66.530,66.530,66.480,66.480,4538
HXF,Ex:TSE | Src:Google,2024-06-20,66.330,66.360,66.330,66.360,700
HXF,Ex:TSE | Src:Google,2024-06-21,66.440,66.440,66.440,66.440,100
HXF,Ex:TSE | Src:Google,2024-06-24,67.300,67.470,67.300,67.470,400
HXF,Ex:TSE | Src:Google,2024-06-28,68.000,68.000,67.680,67.680,1382
HXF,Ex:TSE | Src:Google,2024-07-02,67.880,67.880,67.660,67.660,800
HXF,Ex:TSE | Src:Google,2024-07-03,68.960,68.960,68.960,68.960,100
HXF,Ex:TSE | Src:Google,2024-07-04,68.830,69.110,68.830,69.070,1525
HXF,Ex:TSE | Src:Google,2024-07-05,68.310,68.310,68.300,68.300,200
HXF,Ex:TSE | Src:Google,2024-07-08,68.570,68.630,68.570,68.630,200
HXF,Ex:TSE | Src:Google,2024-07-09,68.850,68.850,68.850,68.850,100
HXF,Ex:TSE | Src:Google,2024-07-17,71.310,71.340,71.310,71.340,303
HXF,Ex:TSE | Src:Google,2024-07-18,71.000,71.320,71.000,71.320,300
HXF,Ex:TSE | Src:Google,2024-07-22,71.540,71.540,71.540,71.540,193
HXF,Ex:TSE | Src:Google,2024-07-23,71.200,71.400,71.200,71.400,745
HXF,Ex:TSE | Src:Google,2024-07-25,71.500,71.500,71.500,71.500,129
HXF,Ex:TSE | Src:Google,2024-07-29,71.860,72.040,71.860,72.040,560
HXF,Ex:TSE | Src:Google,2024-08-02,70.700,70.700,69.640,69.650,525
