Symbol,Settings,Date,Open,High,Low,Close,Volume
HNU,Ex:TSE | Src:Google,2024-04-05,3.500,3.660,3.470,3.490,6499975
HNU,Ex:TSE | Src:Google,2024-04-08,3.570,3.730,3.560,3.710,4826411
HNU,Ex:TSE | Src:Google,2024-04-09,3.860,3.940,3.680,3.870,4892551
HNU,Ex:TSE | Src:Google,2024-04-10,3.900,3.910,3.740,3.780,3939715
HNU,Ex:TSE | Src:Google,2024-04-11,3.680,3.700,3.520,3.570,7468164
HNU,Ex:TSE | Src:Google,2024-04-12,3.520,3.690,3.520,3.680,4003625
HNU,Ex:TSE | Src:Google,2024-04-15,3.450,3.490,3.300,3.310,8029974
HNU,Ex:TSE | Src:Google,2024-04-16,3.300,3.690,3.230,3.490,8142438
HNU,Ex:TSE | Src:Google,2024-04-17,3.340,3.430,3.250,3.430,6401562
HNU,Ex:TSE | Src:Google,2024-04-18,3.460,3.540,3.420,3.450,6293326
HNU,Ex:TSE | Src:Google,2024-04-19,3.580,3.630,3.440,3.490,5772664
HNU,Ex:TSE | Src:Google,2024-04-22,3.660,3.770,3.620,3.750,4835280
HNU,Ex:TSE | Src:Google,2024-04-23,3.690,3.970,3.690,3.940,3282016
HNU,Ex:TSE | Src:Google,2024-04-24,3.680,3.700,3.380,3.380,8321762
HNU,Ex:TSE | Src:Google,2024-04-25,3.360,3.480,3.290,3.390,4557920
HNU,Ex:TSE | Src:Google,2024-04-26,3.290,3.340,3.200,3.260,8598578
HNU,Ex:TSE | Src:Google,2024-04-29,3.350,3.670,3.350,3.650,9542118
HNU,Ex:TSE | Src:Google,2024-04-30,3.680,3.680,3.360,3.420,7231179
HNU,Ex:TSE | Src:Google,2024-05-01,3.350,3.390,3.200,3.270,7449805
HNU,Ex:TSE | Src:Google,2024-05-02,3.390,3.650,3.380,3.600,8479203
HNU,Ex:TSE | Src:Google,2024-05-03,3.690,4.050,3.620,3.990,7009758
HNU,Ex:TSE | Src:Google,2024-05-06,4.230,4.430,4.150,4.190,5915615
